
Project Name: storm

Commit#: 037a9754fdee063d2238a9c41e6ffdb79759d33d	TP_Semantic = 4   (Auto = 2   , Manual = 2  ), FP = 0, TN = 3, FN = 0	-CR_Semantic =	4	-CR_Fine =	8	-[#Contradicting FineDiffs =	16	(#Auto-Resolved:	6	, #Manual-Resolved:	10 )]	-Status = Succees
Commit#: 0a98bee214b46ed20b566a9b49c3eca2895f9fd5	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 1, FN = 0	-CR_Semantic =	0	-CR_Fine =	1	-[#Contradicting FineDiffs =	1	(#Auto-Resolved:	0	, #Manual-Resolved:	1  )]	-Status = Succees
Commit#: 11768ba2025c89ec6cccc232f682c50a46865dc8	TP_Semantic = 9   (Auto = 9   , Manual = 0  ), FP = 0, TN = 0, FN = 2	-CR_Semantic =	11	-CR_Fine =	5	-[#Contradicting FineDiffs =	19	(#Auto-Resolved:	14	, #Manual-Resolved:	5  )]	-Status = Succees	-->Not-Contains List = 	[#1]: Semantic Conflict - Pull-up Method - Move Method[multiPut()| multiPut()] -C-1 ==> Pull-up Method - Move Method[multiPut()| multiPut()] -C-1	[#2]: Keep semantic difference ==> Pull-up Attribute - DiffEClass_eattributes.[AbstractRedisMapState->] - CONTRADICTING ( ADD | NON ) -C-2
Commit#: 154ec7b6daec34c6289eaed1846d6bfba809f6ab	TP_Semantic = 1   (Auto = 1   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	1	-CR_Fine =	3	-[#Contradicting FineDiffs =	5	(#Auto-Resolved:	2	, #Manual-Resolved:	3  )]	-Status = Succees
Commit#: 20799b2e5a3eb983e017ce55cc0f5dff1cea7bd5	TP_Semantic = 2   (Auto = 1   , Manual = 1  ), FP = 0, TN = 5, FN = 0	-CR_Semantic =	2	-CR_Fine =	2	-[#Contradicting FineDiffs =	4	(#Auto-Resolved:	1	, #Manual-Resolved:	3  )]	-Status = Succees
Commit#: 2819989001fe0352aa65201192358cdc69fc9356	TP_Semantic = 1   (Auto = 1   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	1	-CR_Fine =	2	-[#Contradicting FineDiffs =	6	(#Auto-Resolved:	4	, #Manual-Resolved:	2  )]	-Status = Succees
Commit#: 3dc29e0dfde9923b54239714f5d7333cd1d11495	TP_Semantic = 2   (Auto = 2   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	2	-CR_Fine =	0	-[#Contradicting FineDiffs =	2	(#Auto-Resolved:	2	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: 62d725a85e7869290805cdbe55f1f3bce1f905de	TP_Semantic = 6   (Auto = 5   , Manual = 1  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	6	-CR_Fine =	12	-[#Contradicting FineDiffs =	24	(#Auto-Resolved:	11	, #Manual-Resolved:	13 )]	-Status = Succees
Commit#: 6589ab56b351809ce50aef18f1b0246ba6383c48	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 1, FN = 0	-CR_Semantic =	0	-CR_Fine =	0	-[#Contradicting FineDiffs =	0	(#Auto-Resolved:	0	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: 672c3c002d0fc88de846ec4bdb98898e4104825d	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 1, FN = 0	-CR_Semantic =	0	-CR_Fine =	0	-[#Contradicting FineDiffs =	0	(#Auto-Resolved:	0	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: 6c0f4f01aaef6c7a728db45c6d1b3726f2da1ab9	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 1, FN = 0	-CR_Semantic =	0	-CR_Fine =	0	-[#Contradicting FineDiffs =	0	(#Auto-Resolved:	0	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: 84b7deaa5badc07b7ea8a88fef589577c837f8ee	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 1, FN = 0	-CR_Semantic =	0	-CR_Fine =	0	-[#Contradicting FineDiffs =	0	(#Auto-Resolved:	0	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: 9b41ddfd599f6b0538095ee43fa8cf72d8f96d03	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 1, FN = 0	-CR_Semantic =	0	-CR_Fine =	0	-[#Contradicting FineDiffs =	0	(#Auto-Resolved:	0	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: a2502c3bc3bcd4caf3800bb645058abb61d2a071	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 1, FN = 0	-CR_Semantic =	0	-CR_Fine =	0	-[#Contradicting FineDiffs =	0	(#Auto-Resolved:	0	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: b47932d899917a8a2d1a5d9a671a448b147a7432	TP_Semantic = 1   (Auto = 0   , Manual = 1  ), FP = 0, TN = 2, FN = 0	-CR_Semantic =	1	-CR_Fine =	0	-[#Contradicting FineDiffs =	1	(#Auto-Resolved:	0	, #Manual-Resolved:	1  )]	-Status = Succees
Commit#: bc391722098c1e66f6ebe0377a3de6b51a7cf38c	TP_Semantic = 1   (Auto = 1   , Manual = 0  ), FP = 0, TN = 3, FN = 0	-CR_Semantic =	1	-CR_Fine =	2	-[#Contradicting FineDiffs =	3	(#Auto-Resolved:	1	, #Manual-Resolved:	2  )]	-Status = Succees
