
Project Name: syncany

Commit#: 067742526d201ef6992e09d1e0fca71771f24dde	TP_Semantic = 3   (Auto = 3   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	3	-CR_Fine =	0	-[#Contradicting FineDiffs =	3	(#Auto-Resolved:	3	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: 068b018d5b9f19a646436dd0ea0b781311ed6f00	TP_Semantic = 2   (Auto = 2   , Manual = 0  ), FP = 1, TN = 0, FN = 0	-CR_Semantic =	3	-CR_Fine =	5	-[#Contradicting FineDiffs =	8	(#Auto-Resolved:	3	, #Manual-Resolved:	5  )]	-Status = Succees	-->Not-Contains List = 	[#1]: Keep semantic difference ==> Change Parameters - DiffEOperation.[SyncOperation()] - CONTRADICTING ( MODIFY | DELETE ) -C-3
Commit#: 0dba3efc0dbc65ae53136baa2717b63410b6a78d	TP_Semantic = 22  (Auto = 22  , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	22	-CR_Fine =	55	-[#Contradicting FineDiffs =	101	(#Auto-Resolved:	46	, #Manual-Resolved:	55 )]	-Status = Succees
Commit#: 161b2d147b39abd486630b0b6a495039a7aae8b5	TP_Semantic = 3   (Auto = 1   , Manual = 2  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	3	-CR_Fine =	1	-[#Contradicting FineDiffs =	4	(#Auto-Resolved:	1	, #Manual-Resolved:	3  )]	-Status = Succees
Commit#: 24dc9b5d37e41ab269b44acab098d52e5f686418	TP_Semantic = 3   (Auto = 2   , Manual = 1  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	3	-CR_Fine =	5	-[#Contradicting FineDiffs =	8	(#Auto-Resolved:	2	, #Manual-Resolved:	6  )]	-Status = Succees
Commit#: 2b59ffd008022d6fa27d22c00373ffb7b40d653e	TP_Semantic = 1   (Auto = 1   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	1	-CR_Fine =	1	-[#Contradicting FineDiffs =	2	(#Auto-Resolved:	1	, #Manual-Resolved:	1  )]	-Status = Succees
Commit#: 3f52e3240fb81b8c61d63cacd2b8bd8746445830	TP_Semantic = 30  (Auto = 29  , Manual = 1  ), FP = 4, TN = 0, FN = 1	-CR_Semantic =	35	-CR_Fine =	29	-[#Contradicting FineDiffs =	78	(#Auto-Resolved:	48	, #Manual-Resolved:	30 )]	-Status = Succees	-->Not-Contains List = 	[#1]: Keep semantic difference ==> Extract Method - DiffEOperation.[createTempFile()] - CONTRADICTING ( MODIFY | DELETE ) -C-31	[#2]: Keep semantic difference ==> Extract Method - DiffEOperation.[getFilesInTransactions()] - CONTRADICTING ( ADD | NON ) -C-30	[#3]: Keep semantic difference ==> Change Parameters - DiffEOperation.[init()] - CONTRADICTING ( MODIFY | DELETE ) -C-34	[#4]: Keep semantic difference ==> Move Method - DiffEClass_eoperations.[LocalConnection->] - CONTRADICTING ( DELETE | NON ) -C-20	[#5]: Keep semantic difference ==> Extract Method - DiffEOperation.[testUnreliableUpload()] - CONTRADICTING ( MODIFY | DELETE ) -C-33
Commit#: 705e0143d09c745524dd84cf99469dda6bc05aa1	TP_Semantic = 28  (Auto = 28  , Manual = 0  ), FP = 1, TN = 0, FN = 2	-CR_Semantic =	31	-CR_Fine =	14	-[#Contradicting FineDiffs =	45	(#Auto-Resolved:	31	, #Manual-Resolved:	14 )]	-Status = Succees	-->Not-Contains List = 	[#1]: Keep semantic difference ==> Extract Interface - DiffEClass_interfaces.[WatchOperationThread->] - CONTRADICTING ( ADD | NON ) -C-28	[#2]: Keep semantic difference ==> Extract Interface - DiffEClass_interfaces.[WatchOperationThread->] - CONTRADICTING ( ADD | NON ) -C-27	[#3]: Keep semantic difference ==> Change Parameters - DiffEOperation.[WatchOperationThread()] - CONTRADICTING ( MODIFY | DELETE ) -C-31
Commit#: a47fc1dccd876052e7fdfedb6ddfef2f3dd60ff3	TP_Semantic = 1   (Auto = 1   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	1	-CR_Fine =	0	-[#Contradicting FineDiffs =	1	(#Auto-Resolved:	1	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: ab684fbcbf3e7999e57bd854b2cb3573d0cd77ff	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	0	-CR_Fine =	0	-[#Contradicting FineDiffs =	0	(#Auto-Resolved:	0	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: add2848df71d9e88ef2be3f01ac6725bd057b5a0	TP_Semantic = 20  (Auto = 19  , Manual = 1  ), FP = 3, TN = 0, FN = 2	-CR_Semantic =	25	-CR_Fine =	29	-[#Contradicting FineDiffs =	79	(#Auto-Resolved:	49	, #Manual-Resolved:	30 )]	-Status = Succees	-->Not-Contains List = 	[#1]: Keep semantic difference ==> Extract Method - DiffEOperation.[WebdavTransferManager()] - CONTRADICTING ( MODIFY | DELETE ) -C-22	[#2]: Keep semantic difference ==> Move Method - DiffEClass_eoperations.[FtpConnection->] - CONTRADICTING ( DELETE | NON ) -C-13	[#3]: Keep semantic difference ==> Extract Method - DiffEOperation.[loadTrustStore()] - CONTRADICTING ( ADD | NON ) -C-23	[#4]: Keep semantic difference ==> Move Attribute - DiffEClass_eattributes.[WebdavConnection->] - CONTRADICTING ( ADD | NON ) -C-19	[#5]: Keep semantic difference ==> Move Method - DiffEClass.[FtpConnection] - CONTRADICTING ( NON | DELETE ) -C-10
Commit#: b6f7a28a9d333ebc5c65cbdcb19c5ab5b617fc4e	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	0	-CR_Fine =	3	-[#Contradicting FineDiffs =	4	(#Auto-Resolved:	1	, #Manual-Resolved:	3  )]	-Status = Succees
Commit#: e84d8e403ed8267e0dc2cdb1cf185ab920929ccb	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	0	-CR_Fine =	2	-[#Contradicting FineDiffs =	4	(#Auto-Resolved:	2	, #Manual-Resolved:	2  )]	-Status = Succees
