
Project Name: junit4

Commit#: 02fc1f509a670de3632417bbf33168989bfcf872	TP_Semantic = 1   (Auto = 1   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	1	-CR_Fine =	3	-[#Contradicting FineDiffs =	4	(#Auto-Resolved:	1	, #Manual-Resolved:	3  )]	-Status = Succees
Commit#: 39d30b21b3a632f158274c6937c13499cd0758f3	TP_Semantic = 2   (Auto = 2   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	2	-CR_Fine =	36	-[#Contradicting FineDiffs =	39	(#Auto-Resolved:	3	, #Manual-Resolved:	36 )]	-Status = Succees
Commit#: 4f9eee58782d30d873b3739095c8c2e01f59fc7a	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	0	-CR_Fine =	4	-[#Contradicting FineDiffs =	4	(#Auto-Resolved:	0	, #Manual-Resolved:	4  )]	-Status = Succees
Commit#: 6bc83a0d3a67e36adc2733a125bf928c49f702f9	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	0	-CR_Fine =	0	-[#Contradicting FineDiffs =	0	(#Auto-Resolved:	0	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: 93d773835c0c6f70bc89bbf5e4d273c289423a64	TP_Semantic = 2   (Auto = 1   , Manual = 1  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	2	-CR_Fine =	0	-[#Contradicting FineDiffs =	2	(#Auto-Resolved:	1	, #Manual-Resolved:	1  )]	-Status = Succees
Commit#: 956f86fa4c406a923d5366b5906e3431e9d0717d	TP_Semantic = 1   (Auto = 1   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	1	-CR_Fine =	2	-[#Contradicting FineDiffs =	3	(#Auto-Resolved:	1	, #Manual-Resolved:	2  )]	-Status = Succees
Commit#: 9577910167086e05873565b7ed4df6de4815d3bc	TP_Semantic = 1   (Auto = 1   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	1	-CR_Fine =	2	-[#Contradicting FineDiffs =	3	(#Auto-Resolved:	1	, #Manual-Resolved:	2  )]	-Status = Succees
Commit#: b5fb9c92dfb1380b8a8b0b53aea3e7f7627ee03c	TP_Semantic = 1   (Auto = 1   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	1	-CR_Fine =	0	-[#Contradicting FineDiffs =	1	(#Auto-Resolved:	1	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: bb13feee21bc4a77513d50d6855c4396db9f0609	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	0	-CR_Fine =	0	-[#Contradicting FineDiffs =	0	(#Auto-Resolved:	0	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: d2da6a55bca4582c9a469f568df472a00e90ddf4	TP_Semantic = 7   (Auto = 6   , Manual = 1  ), FP = 2, TN = 0, FN = 1	-CR_Semantic =	10	-CR_Fine =	47	-[#Contradicting FineDiffs =	78	(#Auto-Resolved:	30	, #Manual-Resolved:	48 )]	-Status = Succees	-->Not-Contains List = 	[#1]: Keep semantic difference ==> Extract Interface - DiffEClass.[ExpectedException] - CONTRADICTING ( DELETE | MODIFY ) -C-6	[#2]: Keep semantic difference ==> Extract Interface - DiffInterface.[MethodRule] - CONTRADICTING ( NON | ADD ) -C-9	[#3]: Keep semantic difference ==> Extract Interface - DiffEClass.[Timeout] - CONTRADICTING ( DELETE | MODIFY ) -C-7
Commit#: d6ccf5b0fa4e0d62eac42425a593b870af1247bd	TP_Semantic = 3   (Auto = 3   , Manual = 0  ), FP = 1, TN = 0, FN = 1	-CR_Semantic =	5	-CR_Fine =	2	-[#Contradicting FineDiffs =	8	(#Auto-Resolved:	6	, #Manual-Resolved:	2  )]	-Status = Succees	-->Not-Contains List = 	[#1]: Keep semantic difference ==> Move Class - DiffEPackage_eclassifiers.[pkg->] - CONTRADICTING ( DELETE | NON ) -C-4	[#2]: Keep semantic difference ==> Move Class - DiffEPackage_eclassifiers.[pkg->] - CONTRADICTING ( ADD | NON ) -C-3
Commit#: ee037247a9a03d8ac2e584d52a544b9733f2c016	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	0	-CR_Fine =	1	-[#Contradicting FineDiffs =	1	(#Auto-Resolved:	0	, #Manual-Resolved:	1  )]	-Status = Succees
Commit#: f4682ce2558cdca60d12fbef39e9ca0370eba592	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	0	-CR_Fine =	6	-[#Contradicting FineDiffs =	6	(#Auto-Resolved:	0	, #Manual-Resolved:	6  )]	-Status = Succees
