
Project Name: realm-java

Commit#: 00c9dd117b4b3279c4f48238948005994c90a491	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	0	-CR_Fine =	1	-[#Contradicting FineDiffs =	1	(#Auto-Resolved:	0	, #Manual-Resolved:	1  )]	-Status = Succees
Commit#: 03e7e6b28b7f1bba1b730519bb61996c89e3e7f1	TP_Semantic = 28  (Auto = 28  , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	28	-CR_Fine =	10	-[#Contradicting FineDiffs =	38	(#Auto-Resolved:	28	, #Manual-Resolved:	10 )]	-Status = Succees
Commit#: 1a4ec7374f2a3d80a6a4e105e34ab2aca9f5870f	TP_Semantic = 4   (Auto = 4   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	4	-CR_Fine =	3	-[#Contradicting FineDiffs =	7	(#Auto-Resolved:	4	, #Manual-Resolved:	3  )]	-Status = Succees
Commit#: 1c2fa226d03cd2cab86cfcbe5f29f5a8da8e936b	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	0	-CR_Fine =	0	-[#Contradicting FineDiffs =	0	(#Auto-Resolved:	0	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: 26c34ba7f398e73a01baeaee27a64ff40260647c	TP_Semantic = 1   (Auto = 1   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	1	-CR_Fine =	0	-[#Contradicting FineDiffs =	1	(#Auto-Resolved:	1	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: 3bfb79bfe048114be4e73eba3d6e9503583a2752	TP_Semantic = 1   (Auto = 1   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	1	-CR_Fine =	30	-[#Contradicting FineDiffs =	31	(#Auto-Resolved:	1	, #Manual-Resolved:	30 )]	-Status = Succees
Commit#: 5d5b9d079f30a5de84393f5d6ea41279234e3a56	TP_Semantic = 1   (Auto = 1   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	1	-CR_Fine =	0	-[#Contradicting FineDiffs =	1	(#Auto-Resolved:	1	, #Manual-Resolved:	0  )]	-Status = Succees
Commit#: 5e5c3c1e2f31aed7ef8ffb0deeaff70bfb72a5ed	TP_Semantic = 2   (Auto = 1   , Manual = 1  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	2	-CR_Fine =	2	-[#Contradicting FineDiffs =	4	(#Auto-Resolved:	1	, #Manual-Resolved:	3  )]	-Status = Succees
Commit#: 7dc475924f49bcea2157ec11e6d2d27868db286e	TP_Semantic = 4   (Auto = 4   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	4	-CR_Fine =	3	-[#Contradicting FineDiffs =	7	(#Auto-Resolved:	4	, #Manual-Resolved:	3  )]	-Status = Succees
Commit#: 8a26445bda8257df9e754235fab41939084094c7	TP_Semantic = 3   (Auto = 0   , Manual = 3  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	3	-CR_Fine =	9	-[#Contradicting FineDiffs =	12	(#Auto-Resolved:	0	, #Manual-Resolved:	12 )]	-Status = Succees
Commit#: 8a424e815ddd465f32e56ac01a483372600e524c	TP_Semantic = 6   (Auto = 6   , Manual = 0  ), FP = 1, TN = 0, FN = 0	-CR_Semantic =	7	-CR_Fine =	8	-[#Contradicting FineDiffs =	24	(#Auto-Resolved:	16	, #Manual-Resolved:	8  )]	-Status = Succees	-->Not-Contains List = 	[#1]: Keep semantic difference ==> Move Attribute - DiffEClass.[RealmJSonImplGenerator] - CONTRADICTING ( DELETE | NON ) -C-7
Commit#: 8f65b388098679ac7d0e4031ed94aec61a2d07ad	TP_Semantic = 11  (Auto = 10  , Manual = 1  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	11	-CR_Fine =	18	-[#Contradicting FineDiffs =	36	(#Auto-Resolved:	17	, #Manual-Resolved:	19 )]	-Status = Succees
Commit#: 9a5515e235b836664edcc0eb9b00875a05770860	TP_Semantic = 4   (Auto = 4   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	4	-CR_Fine =	8	-[#Contradicting FineDiffs =	12	(#Auto-Resolved:	4	, #Manual-Resolved:	8  )]	-Status = Succees
